Table 1.10 Civilians Ages Under 5 Years Living in the Community for the United States and States, by Disability Status: 2021
State,Total,"Disability: Count","Disability: % [1]","No Disability: Count","No Disability: % [2]"
DC,311238,33726,5278,1.7,15.6
FL,10467743,1418448,245820,2.3,17.3
GA,5114715,648867,111897,2.2,17.2
HI,680559,88977,16860,2.5,18.9
ID,938537,135938,17720,1.9,13.0
IL,6142850,698827,124996,2.0,17.9
IN,3309815,442981,68100,2.1,15.4
IA,1572805,195754,28009,1.8,14.3
KS,1434605,192728,31093,2.2,16.1
KY,2171550,388070,70160,3.2,18.1
LA,2175836,345254,61023,2.8,17.7
ME,666114,108162,16252,2.4,15.0
MD,2924550,312469,53816,1.8,17.2
MA,3366202,371402,66896,2.0,18.0
MI,4903950,670822,111613,2.3,16.6
MN,2820287,341723,55617,2.0,16.3
MS,1385394,249069,41656,3.0,16.7
MO,2965861,433781,65276,2.2,15.0
MT,550116,85557,10564,1.9,12.3
NE,962845,122410,14690,1.5,12.0
NV,1554349,205669,37000,2.4,18.0
NH,685870,83653,13339,1.9,15.9
NJ,4483613,448329,88647,2.0,19.8
NM,1017409,161991,29031,2.9,17.9
NY,9533772,1076060,215999,2.3,20.1
NC,4993614,680203,117410,2.4,17.3
ND,387128,43966,6087,1.6,13.8
OH,5694662,794779,130495,2.3,16.4
OK,1929803,329666,43731,2.3,13.3
OR,2091146,316902,53755,2.6,17.0
PA,6271632,846219,139793,2.2,16.5
RI,525890,69919,13064,2.5,18.7
SC,2458411,352076,61034,2.5,17.3
SD,443799,58301,7070,1.6,12.1
TN,3342855,501677,82597,2.5,16.5
TX,14380206,1728370,291943,2.0,16.9
UT,1672175,168126,19585,1.2,11.6
VT,315647,45300,6692,2.1,14.8
VA,4102872,497306,89834,2.2,18.1
WA,3803546,486842,73737,1.9,15.1
WV,867709,162253,28260,3.3,17.4
WI,2909456,345187,58132,2.0,16.8
WY,290687,36608,4596,1.6,12.6

Table 1.86 Female Civilians Living in the Community for the United States and States - Self-Care Disability: 2021
State,Total,Disability,"Self-Care: Count","Self-Care: Total (%) [1]","Self-Care: Disability (%) [2]"
US,166275020,22031613,4290698,2.6,19.5
AL,2574169,422450,78220,3.0,18.5
AK,342243,48147,6859,2.0,14.2
AZ,3624667,491167,82419,2.3,16.8
AR,1516842,262511,48540,3.2,18.5
CA,19513204,2262778,543693,2.8,24.0
CO,2847921,318491,46523,1.6,14.6
CT,1820451,218857,43604,2.4,19.9
DE,513557,64992,13833,2.7,21.3
DC,348484,44156,8076,2.3,18.3
FL,10999163,1492687,298824,2.7,20.0
GA,5487582,724267,133633,2.4,18.5
HI,702400,79186,16457,2.3,20.8
ID,941205,127177,27202,2.9,21.4
IL,6353766,792923,155616,2.4,19.6
IN,3399146,476351,88380,2.6,18.6
IA,1576276,201425,34631,2.2,17.2
KS,1445589,193322,31517,2.2,16.3
KY,2256535,395629,78526,3.5,19.8
LA,2343043,378964,78509,3.4,20.7
ME,692068,102270,15239,2.2,14.9
MD,3136440,374878,63815,2.0,17.0
MA,3549486,437072,86156,2.4,19.7
MI,5047101,723482,134893,2.7,18.6
MN,2832234,337739,61843,2.2,18.3
MS,1500244,273773,50792,3.4,18.6
MO,3096985,449772,83876,2.7,18.6
MT,537131,73189,14172,2.6,19.4
NE,972840,127174,22212,2.3,17.5
NV,1550505,196497,38975,2.5,19.8
NH,687553,82384,10740,1.6,13.0
NJ,4679741,514385,111268,2.4,21.6
NM,1060083,174566,35841,3.4,20.5
NY,10065477,1283782,288154,2.9,22.4
NC,5352606,733430,136226,2.5,18.6
ND,367353,48504,5282,1.4,10.9
OH,5918690,864367,147653,2.5,17.1
OK,1973462,346133,58190,2.9,16.8
OR,2115047,320777,63794,3.0,19.9
PA,6495615,918055,160154,2.5,17.4
RI,554978,80693,13678,2.5,17.0
SC,2649040,378737,75940,2.9,20.1
SD,433326,53235,9356,2.2,17.6
TN,3531766,528547,102270,2.9,19.3
TX,14692317,1789801,341797,2.3,19.1
UT,1637305,177364,27709,1.7,15.6
VT,322912,40669,7031,2.2,17.3
VA,4312903,543129,108121,2.5,19.9
WA,3816565,510091,93839,2.5,18.4
WV,887866,166274,39616,4.5,23.8
WI,2919575,344837,61572,2.1,17.9
WY,279563,40527,5432,1.9,13.4

Table 1.87 Male Civilians Living in the Community for the United States and States - Independent Living Disability: 2021
State,Total,Disability,"Independent Living: Count","Independent Living: Total (%) [1]","Independent Living: Disability (%) [2]"
US,160667758,20570386,6341631,3.9,30.8
AL,2382659,383399,114525,4.8,29.9
AK,361369,51047,12941,3.6,25.4
AZ,3550863,479263,133696,3.8,27.9
AR,1458706,255212,81652,5.6,32.0
CA,19212447,2079721,735813,3.8,35.4
CO,2867430,324539,89414,3.1,27.6
CT,1738212,208287,65292,3.8,31.3
DE,474249,64551,20625,4.3,32.0
DC,311238,33726,8422,2.7,25.0
FL,10467743,1418448,425016,4.1,30.0
GA,5114715,648867,205672,4.0,31.7
HI,680559,88977,29250,4.3,32.9
ID,938537,135938,31649,3.4,23.3
IL,6142850,698827,229288,3.7,32.8
IN,3309815,442981,128572,3.9,29.0
IA,1572805,195754,57326,3.6,29.3
KS,1434605,192728,57883,4.0,30.0
KY,2171550,388070,122942,5.7,31.7
LA,2175836,345254,104036,4.8,30.1
ME,666114,108162,34503,5.2,31.9
MD,2924550,312469,95672,3.3,30.6
MA,3366202,371402,115963,3.4,31.2
MI,4903950,670822,215279,4.4,32.1
MN,2820287,341723,102166,3.6,29.9
MS,1385394,249069,78881,5.7,31.7
MO,2965861,433781,127754,4.3,29.5
MT,550116,85557,20628,3.7,24.1
NE,962845,122410,30787,3.2,25.2
NV,1554349,205669,60173,3.9,29.3
NH,685870,83653,26595,3.9,31.8
NJ,4483613,448329,154363,3.4,34.4
NM,1017409,161991,50522,5.0,31.2
NY,9533772,1076060,394256,4.1,36.6
NC,4993614,680203,203307,4.1,29.9
ND,387128,43966,8578,2.2,19.5
OH,5694662,794779,232512,4.1,29.3
OK,1929803,329666,85719,4.4,26.0
OR,2091146,316902,100327,4.8,31.7
PA,6271632,846219,261622,4.2,30.9
RI,525890,69919,23097,4.4,33.0
SC,2458411,352076,108085,4.4,30.7
SD,443799,58301,12488,2.8,21.4
TN,3342855,501677,148801,4.5,29.7
TX,14380206,1728370,490408,3.4,28.4
UT,1672175,168126,44886,2.7,26.7
VT,315647,45300,15051,4.8,33.2
VA,4102872,497306,149905,3.7,30.1
WA,3803546,486842,139313,3.7,28.6
WV,867709,162253,46319,5.3,28.5
WI,2909456,345187,99528,3.4,28.8
WY,290687,36608,10129,3.5,27.7

Table 1.88 Female Civilians Living in the Community for the United States and States - Independent Living Disability: 2021
State,Total,Disability,"Independent Living: Count","Independent Living: Total (%) [1]","Independent Living: Disability (%) [2]"
US,166275020,22031613,8804058,5.3,40.0
AL,2574169,422450,168450,6.5,39.9
AK,342243,48147,16005,4.7,33.2
AZ,3624667,491167,180948,5.0,36.8
AR,1516842,262511,99910,6.6,38.1
CA,19513204,2262778,1012552,5.2,44.7
CO,2847921,318491,114457,4.0,35.9
CT,1820451,218857,91942,5.1,42.0
DE,513557,64992,24363,4.7,37.5
DC,348484,44156,14678,4.2,33.2
FL,10999163,1492687,586704,5.3,39.3
GA,5487582,724267,272750,5.0,37.7
HI,702400,79186,38392,5.5,48.5
ID,941205,127177,48964,5.2,38.5
IL,6353766,792923,323663,5.1,40.8
IN,3399146,476351,185273,5.5,38.9
IA,1576276,201425,75503,4.8,37.5
KS,1445589,193322,74883,5.2,38.7
KY,2256535,395629,163259,7.2,41.3
LA,2343043,378964,144820,6.2,38.2
ME,692068,102270,45458,6.6,44.4
MD,3136440,374878,139384,4.4,37.2
MA,3549486,437072,185904,5.2,42.5
MI,5047101,723482,299827,5.9,41.4
MN,2832234,337739,139018,4.9,41.2
MS,1500244,273773,102029,6.8,37.3
MO,3096985,449772,170575,5.5,37.9
MT,537131,73189,28793,5.4,39.3
NE,972840,127174,42676,4.4,33.6
NV,1550505,196497,73905,4.8,37.6
NH,687553,82384,30665,4.5,37.2
NJ,4679741,514385,216432,4.6,42.1
NM,1060083,174566,71605,6.8,41.0
NY,10065477,1283782,580262,5.8,45.2
NC,5352606,733430,280294,5.2,38.2
ND,367353,48504,13711,3.7,28.3
OH,5918690,864367,324054,5.5,37.5
OK,1973462,346133,133323,6.8,38.5
OR,2115047,320777,130408,6.2,40.7
PA,6495615,918055,369542,5.7,40.3
RI,554978,80693,32501,5.9,40.3
SC,2649040,378737,143580,5.4,37.9
SD,433326,53235,17989,4.2,33.8
TN,3531766,528547,212071,6.0,40.1
TX,14692317,1789801,668045,4.5,37.3
UT,1637305,177364,65559,4.0,37.0
VT,322912,40669,15661,4.8,38.5
VA,4312903,543129,208121,4.8,38.3
WA,3816565,510091,204837,5.4,40.2
WV,887866,166274,72735,8.2,43.7
WI,2919575,344837,134069,4.6,38.9
WY,279563,40527,13509,4.8,33.3

Table 3.11 Employment - Civilians with Disabilities Ages 65 Years and Over Living in the Community for the United States and States: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,17813109,1545897,8.7
AL,328467,25281,7.7
AK,32417,3289,10.1
AZ,423973,35036,8.3
AR,199503,15977,8.0
CA,1913960,146813,7.7
CO,261895,27404,10.5
CT,183329,15846,8.6
DE,54495,4785,8.8
DC,27921,2964,10.6
FL,1414691,111385,7.9
GA,532212,48515,9.1
HI,88318,8654,9.8
ID,110698,10012,9.0
IL,639279,51764,8.1
IN,365771,34939,9.6
IA,165428,17552,10.6
KS,152553,18283,12.0
KY,295880,22191,7.5
LA,283422,26316,9.3
ME,87448,6967,8.0
MD,281099,30046,10.7
MA,355778,32992,9.3
MI,574341,44478,7.7
MN,272385,24702,9.1
MS,194987,16197,8.3
MO,364243,32187,8.8
MT,72028,8435,11.7
NE,97221,11635,12.0
NV,171479,13675,8.0
NH,68373,7636,11.2
NJ,450519,38366,8.5
NM,141497,11153,7.9
NY,1052081,80578,7.7
NC,585152,49890,8.5
ND,36737,4865,13.2
OH,670750,57196,8.5
OK,260662,24582,9.4
OR,254265,18356,7.2
PA,745969,63705,8.5
RI,57788,4777,8.3
SC,307193,25639,8.3
SD,49442,5974,12.1
TN,414972,36227,8.7
TX,1344250,144911,10.8
UT,113605,10462,9.2
VT,36838,5337,14.5
VA,423312,39477,9.3
WA,406446,32766,8.1
WV,136900,9517,7.0
WI,277536,23890,8.6
WY,33601,2273,6.8

Table 3.12 Employment - Civilians without Disabilities Ages 65 Years and Over Living in the Community for the United States and States: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,36945841,8253382,22.3
AL,536984,102913,19.2
AK,63377,16860,26.6
AZ,900284,170362,18.9
AR,312219,56816,18.2
CA,3962162,904121,22.8
CO,605192,147263,24.3
CT,448327,115868,25.8
DE,141095,29600,21.0
DC,55712,17113,30.7
FL,3122290,613978,19.7
GA,1026521,227101,22.1
HI,190336,48936,25.7
ID,200200,39225,19.6
IL,1408305,316673,22.5
IN,718639,162034,22.5
IA,382875,88905,23.2
KS,319397,79104,24.8
KY,454196,94141,20.7
LA,466913,104971,22.5
ME,203465,48124,23.7
MD,701685,189955,27.1
MA,827898,224864,27.2
MI,1214682,222466,18.3
MN,664783,150671,22.7
MS,291120,59087,20.3
MO,688156,158006,23.0
MT,141082,30803,21.8
NE,216403,65159,30.1
NV,343148,66227,19.3
NH,191741,50895,26.5
NJ,1077486,284458,26.4
NM,244545,47510,19.4
NY,2333535,550482,23.6
NC,1180408,242807,20.6
ND,81651,21772,26.7
OH,1371305,304153,22.2
OK,370154,80523,21.8
OR,525908,107162,20.4
PA,1645136,367839,22.4
RI,134846,33092,24.5
SC,644739,127408,19.8
SD,101600,25261,24.9
TN,749217,167297,22.3
TX,2487288,604847,24.3
UT,270272,57115,21.1
VT,92892,21806,23.5
VA,959759,230154,24.0
WA,826969,172564,20.9
WV,225753,37845,16.8
WI,754595,149793,19.9
WY,68596,17253,25.2

Table 3.13 Employment - Civilians Ages 65 Years and Over Living in the Community for the United States and States - Hearing Disability: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,7247758,720570,9.9
AL,123653,12111,9.8
AK,16858,1860,11.0
AZ,192287,15577,8.1
AR,87725,8544,9.7
CA,727600,61386,8.4
CO,129262,14101,10.9
CT,70394,8506,12.1
DE,24257,2418,10.0
DC,6496,424,6.5
FL,560199,47770,8.5
GA,209538,20413,9.7
HI,35286,3259,9.2
ID,56450,6619,11.7
IL,239691,21832,9.1
IN,151932,15897,10.5
IA,77805,10280,13.2
KS,67763,9480,14.0
KY,122956,11377,9.3
LA,113876,12365,10.9
ME,43623,4882,11.2
MD,102601,13693,13.3
MA,143217,17989,12.6
MI,229194,20999,9.2
MN,120425,12870,10.7
MS,71349,7004,9.8
MO,154464,14580,9.4
MT,37441,4971,13.3
NE,41688,5822,14.0
NV,72762,6109,8.4
NH,31584,4246,13.4
NJ,163584,14973,9.2
NM,65994,4445,6.7
NY,355388,33225,9.3
NC,241776,24742,10.2
ND,17116,1864,10.9
OH,277914,29878,10.8
OK,118420,12317,10.4
OR,116970,9565,8.2
PA,301631,30243,10.0
RI,21796,1386,6.4
SC,115596,10291,8.9
SD,21767,4074,18.7
TN,177385,16501,9.3
TX,548920,67017,12.2
UT,58050,6365,11.0
VT,18118,3133,17.3
VA,170379,18321,10.8
WA,187176,16535,8.8
WV,64059,5288,8.3
WI,125647,12009,9.6
WY,17696,1014,5.7

Table 3.14 Employment - Civilians Ages 65 Years and Over Living in the Community for the United States and State - Vision Disability: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,3292867,269335,8.2
AL,59548,4633,7.8
AK,7023,848,12.1
AZ,73679,6312,8.6
AR,42163,2852,6.8
CA,351370,25609,7.3
CO,48063,3687,7.7
CT,32623,3098,9.5
DE,9802,1114,11.4
DC,3286,450,13.7
FL,266512,21978,8.2
GA,106291,7970,7.5
HI,13626,1398,10.3
ID,20294,1863,9.2
IL,110172,7533,6.8
IN,67036,5180,7.7
IA,23295,2916,12.5
KS,27387,2417,8.8
KY,61270,4673,7.6
LA,59648,4847,8.1
ME,13045,963,7.4
MD,46487,4711,10.1
MA,63418,5895,9.3
MI,93032,7208,7.7
MN,40908,3945,9.6
MS,42576,3800,8.9
MO,63782,6276,9.8
MT,13164,661,5.0
NE,17069,1899,11.1
NV,36005,3050,8.5
NH,12245,1057,8.6
NJ,81760,7319,9.0
NM,29178,2261,7.7
NY,180381,13540,7.5
NC,111896,8928,8.0
ND,6715,479,7.1
OH,120650,8164,6.8
OK,54196,4195,7.7
OR,44977,2940,6.5
PA,133495,9211,6.9
RI,9816,985,10.0
SC,62461,6441,10.3
SD,7082,952,13.4
TN,80912,7124,8.8
TX,289383,29179,10.1
UT,21029,1877,8.9
VT,6765,887,13.1
VA,85312,7358,8.6
WA,68290,4811,7.0
WV,25830,1172,4.5
WI,41811,2041,4.9
WY,6109,628,10.3

Table 3.15 Employment - Civilians Ages 65 Years and Over Living in the Community for the United States and States - Cognitive Disability: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,4303729,182396,4.2
AL,80900,3103,3.8
AK,5612,247,4.4
AZ,100719,4540,4.5
AR,48837,2859,5.9
CA,519007,20334,3.9
CO,59712,3881,6.5
CT,43368,2486,5.7
DE,11859,468,3.9
DC,7069,100,1.4
FL,346441,10858,3.1
GA,138361,5245,3.8
HI,24840,1553,6.3
ID,28348,985,3.5
IL,148796,5420,3.6
IN,82959,4405,5.3
IA,32359,2104,6.5
KS,35366,1931,5.5
KY,76340,1732,2.3
LA,70593,4214,6.0
ME,20428,408,2.0
MD,62378,3577,5.7
MA,90254,4095,4.5
MI,138503,4904,3.5
MN,62948,2875,4.6
MS,52127,1915,3.7
MO,85089,2681,3.2
MT,13753,525,3.8
NE,20990,1141,5.4
NV,45006,1934,4.3
NH,14560,845,5.8
NJ,100687,4116,4.1
NM,36681,1773,4.8
NY,270459,10217,3.8
NC,134782,4683,3.5
ND,6346,162,2.6
OH,151785,7435,4.9
OK,55907,3184,5.7
OR,68867,2454,3.6
PA,161727,6515,4.0
RI,13880,910,6.6
SC,73453,2266,3.1
SD,9005,319,3.5
TN,106761,3391,3.2
TX,314502,18042,5.7
UT,27319,617,2.3
VT,8451,681,8.1
VA,96613,3694,3.8
WA,101793,4638,4.6
WV,35889,1681,4.7
WI,54042,3817,7.1
WY,7258,436,6.0

Table 3.16 Employment - Civilians Ages 65 Years and Over Living in the Community for the United States and States - Ambulatory Disability: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,11191558,723505,6.5
AL,218258,13018,6.0
AK,17160,802,4.7
AZ,258579,17288,6.7
AR,127127,7248,5.7
CA,1243427,74023,6.0
CO,145457,11168,7.7
CT,113206,5432,4.8
DE,33600,2097,6.2
DC,20149,2149,10.7
FL,877471,55382,6.3
GA,346569,25155,7.3
HI,53970,4730,8.8
ID,61931,3718,6.0
IL,410612,27005,6.6
IN,226529,15451,6.8
IA,92464,6741,7.3
KS,92696,7618,8.2
KY,199482,10858,5.4
LA,183944,10198,5.5
ME,46659,1852,4.0
MD,178829,14195,7.9
MA,215406,11974,5.6
MI,359868,20208,5.6
MN,151376,9413,6.2
MS,133564,7638,5.7
MO,224663,16268,7.2
MT,41171,3690,9.0
NE,58410,4508,7.7
NV,108771,6195,5.7
NH,38043,3045,8.0
NJ,294085,19128,6.5
NM,86470,5700,6.6
NY,692113,40957,5.9
NC,366405,21185,5.8
ND,21183,2789,13.2
OH,417627,24978,6.0
OK,167926,11059,6.6
OR,152520,7647,5.0
PA,462894,30070,6.5
RI,36300,2118,5.8
SC,192884,11340,5.9
SD,28885,3030,10.5
TN,259369,17045,6.6
TX,875520,74381,8.5
UT,62364,4592,7.4
VT,20508,1313,6.4
VA,266381,16426,6.2
WA,240406,14318,6.0
WV,88589,4456,5.0
WI,162270,11077,6.8
WY,17468,829,4.7

Table 3.17 Employment - Civilians Ages 65 Years and Over Living in the Community for the United States and States - Self-Care Disability: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,3890545,126760,3.3
AL,66358,1949,2.9
AK,4550,16,0.4
AZ,82173,2773,3.4
AR,41683,1135,2.7
CA,529808,15265,2.9
CO,44776,1433,3.2
CT,39752,1196,3.0
DE,11860,676,5.7
DC,6345,459,7.2
FL,300977,9570,3.2
GA,114926,4045,3.5
HI,19818,469,2.4
ID,24867,993,4.0
IL,138462,5129,3.7
IN,69577,2609,3.7
IA,29743,1265,4.3
KS,26959,1049,3.9
KY,67897,1079,1.6
LA,68206,1907,2.8
ME,14576,395,2.7
MD,60573,2753,4.5
MA,82360,1963,2.4
MI,112412,2786,2.5
MN,54962,1820,3.3
MS,40731,1473,3.6
MO,68206,2299,3.4
MT,12722,716,5.6
NE,15536,332,2.1
NV,39374,1195,3.0
NH,9584,292,3.0
NJ,110784,4111,3.7
NM,29430,1392,4.7
NY,271945,9434,3.5
NC,122044,3629,3.0
ND,5048,225,4.5
OH,130895,4096,3.1
OK,47402,2560,5.4
OR,58563,1573,2.7
PA,143054,4413,3.1
RI,12019,388,3.2
SC,67079,2192,3.3
SD,8003,148,1.8
TN,88234,2016,2.3
TX,300811,11700,3.9
UT,19498,738,3.8
VT,6473,126,1.9
VA,95202,2714,2.9
WA,83559,3364,4.0
WV,33175,526,1.6
WI,52554,2177,4.1
WY,5000,197,3.9

Table 3.18 Employment - Civilians Ages 65 Years and Over Living in the Community for the United States and States - Independent Living Disability: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,7214497,222852,3.1
AL,127803,2981,2.3
AK,8642,589,6.8
AZ,152564,4516,3.0
AR,74765,1780,2.4
CA,923041,28139,3.0
CO,89865,3385,3.8
CT,78332,2057,2.6
DE,20780,882,4.2
DC,11428,543,4.8
FL,543829,14554,2.7
GA,213952,7026,3.3
HI,40424,1358,3.4
ID,39094,1567,4.0
IL,271782,9476,3.5
IN,136028,4237,3.1
IA,57868,1851,3.2
KS,52128,2308,4.4
KY,125340,2666,2.1
LA,113052,3215,2.8
ME,28789,409,1.4
MD,119560,3940,3.3
MA,152725,3668,2.4
MI,228672,5831,2.5
MN,104533,3504,3.4
MS,77744,1976,2.5
MO,133124,3990,3.0
MT,22339,1216,5.4
NE,35406,1336,3.8
NV,66920,1400,2.1
NH,23637,792,3.4
NJ,197977,6189,3.1
NM,54722,1501,2.7
NY,514389,17342,3.4
NC,215935,7324,3.4
ND,11383,452,4.0
OH,254340,5908,2.3
OK,93121,2771,3.0
OR,98775,2371,2.4
PA,297727,8620,2.9
RI,24070,532,2.2
SC,120425,3648,3.0
SD,14982,462,3.1
TN,162666,5284,3.2
TX,533825,21668,4.1
UT,39888,606,1.5
VT,13687,412,3.0
VA,172430,5486,3.2
WA,155478,5918,3.8
WV,56021,1141,2.0
WI,96707,3535,3.7
WY,11783,490,4.2

Table 3.19 Employment Gap - Civilians Ages 65 Years and Over Living in the Community for the United States and States: 2021
State,"Employment Rate (%): Disability","Employment Rate (%): No Disability","Gap (% pts) [1]"
US,8.7,46.3,37.3
AL,7.7,31.3,23.3
AK,10.1,52.0,41.9
AZ,8.3,40.2,31.7
AR,8.0,28.5,20.0
CA,7.7,47.2,39.3
CO,10.5,56.2,45.5
CT,8.6,63.2,54.4
DE,8.8,54.3,45.2
DC,10.6,61.3,50.4
FL,7.9,43.4,35.1
GA,9.1,42.7,33.9
HI,9.8,55.4,45.2
ID,9.0,35.4,26.0
IL,8.1,49.5,41.9
IN,9.6,44.3,34.4
IA,10.6,53.7,43.4
KS,12.0,51.9,40.0
KY,7.5,31.8,24.5
LA,9.3,37.0,27.7
ME,8.0,55.0,47.0
MD,10.7,67.6,57.3
MA,9.3,63.2,53.7
MI,7.7,38.7,31.3
MN,9.1,55.3,45.9
MS,8.3,30.3,21.7
MO,8.8,43.4,34.2
MT,11.7,42.8,31.3
NE,12.0,67.0,55.0
NV,8.0,38.6,31.0
NH,11.2,74.4,62.8
NJ,8.5,63.1,54.5
NM,7.9,33.6,26.1
NY,7.7,52.3,44.3
NC,8.5,41.5,32.5
ND,13.2,59.3,45.8
OH,8.5,45.3,36.5
OK,9.4,30.9,21.6
OR,7.2,42.1,34.8
PA,8.5,49.3,40.5
RI,8.3,57.3,48.7
SC,8.3,41.5,32.7
SD,12.1,51.1,38.9
TN,8.7,40.3,31.3
TX,10.8,45.0,34.2
UT,9.2,50.3,40.8
VT,14.5,59.2,44.5
VA,9.3,54.4,44.7
WA,8.1,42.5,33.9
WV,7.0,27.6,21.0
WI,8.6,54.0,45.4
WY,6.8,51.3,44.2

Table 3.21 Employment - Non-Hispanic White Civilians with Disabilities Ages 18 to 64 Years Living in the Community for the United States and States: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,12597488,5226854,41.5
AL,258388,87984,34.1
AK,33423,14783,44.2
AZ,243468,108061,44.4
AR,187888,67602,36.0
CA,774866,301156,38.9
CO,204100,105538,51.7
CT,119917,53809,44.9
DE,37632,17502,46.5
DC,7893,4925,62.4
FL,689090,271218,39.4
GA,352080,141446,40.2
HI,15211,5447,35.8
ID,103297,50047,48.4
IL,436443,186325,42.7
IN,364907,150529,41.3
IA,162742,74291,45.6
KS,144703,66102,45.7
KY,360666,119237,33.1
LA,207333,74481,35.9
ME,99426,35207,35.4
MD,160071,78659,49.1
MA,260182,111009,42.7
MI,496552,193928,39.1
MN,257440,132845,51.6
MS,150704,52379,34.8
MO,344601,146557,42.5
MT,60984,27166,44.5
NE,102076,55985,54.8
NV,102830,42868,41.7
NH,76507,35760,46.7
NJ,224445,91057,40.6
NM,56861,20070,35.3
NY,577919,227852,39.4
NC,437032,172631,39.5
ND,34364,20300,59.1
OH,627105,251303,40.1
OK,229758,96432,42.0
OR,249985,101964,40.8
PA,578034,243311,42.1
RI,51122,21951,42.9
SC,218415,79727,36.5
SD,39786,22772,57.2
TN,397369,142887,36.0
TX,745091,350545,47.0
UT,151192,78808,52.1
VT,39645,14638,36.9
VA,310264,139117,44.8
WA,355403,145649,41.0
WV,153157,45291,29.6
WI,275833,132310,48.0
WY,29288,15393,52.6

Table 3.22 Employment - Non-Hispanic Black Civilians with Disabilities Ages 18 to 64 Years Living in the Community for the United States and States: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,3207068,1083079,33.8
AL,130605,33919,26.0
AK,3365,923,27.4
AZ,26591,11639,43.8
AR,45422,13668,30.1
CA,182482,58072,31.8
CO,16876,8172,48.4
CT,25359,9768,38.5
DE,13378,4737,35.4
DC,29770,9752,32.8
FL,201786,72093,35.7
GA,257130,92856,36.1
HI,2282,753,33.0
ID,515,131,25.4
IL,140809,45603,32.4
IN,48114,14614,30.4
IA,6407,2281,35.6
KS,15573,4681,30.1
KY,25751,7963,30.9
LA,133760,41329,30.9
ME,1957,1182,60.4
MD,126895,49975,39.4
MA,29636,12939,43.7
MI,133094,37301,28.0
MN,30996,14007,45.2
MS,109788,33082,30.1
MO,57160,20032,35.0
MT,172,26,15.1
NE,6036,1364,22.6
NV,19276,5968,31.0
NH,1300,1183,91.0
NJ,80224,23238,29.0
NM,3516,309,8.8
NY,190642,58967,30.9
NC,174428,60275,34.6
ND,2066,1401,67.8
OH,119716,43853,36.6
OK,25734,8687,33.8
OR,7158,2595,36.3
PA,125898,36607,29.1
RI,5710,2884,50.5
SC,111704,34190,30.6
SD,1925,814,42.3
TN,81230,24266,29.9
TX,270702,109447,40.4
UT,2025,1040,51.4
VT,397,316,79.6
VA,119182,44355,37.2
WA,22316,7930,35.5
WV,5399,1515,28.1
WI,34236,10377,30.3
WY,575,*,*

Table 3.23 Employment - Non-Hispanic Asian Civilians with Disabilities Ages 18 to 64 Years Living in the Community for the United States and States: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,616124,277345,45.0
AL,1610,865,53.7
AK,1532,1092,71.3
AZ,8290,4069,49.1
AR,1958,730,37.3
CA,191307,77358,40.4
CO,8930,5527,61.9
CT,5652,3099,54.8
DE,910,650,71.4
DC,759,433,57.0
FL,23167,10364,44.7
GA,12119,5911,48.8
HI,17697,8268,46.7
ID,1452,442,30.4
IL,22092,9901,44.8
IN,5751,3808,66.2
IA,2439,1214,49.8
KS,3263,1891,58.0
KY,1600,822,51.4
LA,3460,1107,32.0
ME,1906,877,46.0
MD,11705,5676,48.5
MA,13767,6593,47.9
MI,9393,3948,42.0
MN,13342,6323,47.4
MS,473,424,89.6
MO,3946,2319,58.8
MT,420,*,*
NE,1674,455,27.2
NV,12265,7042,57.4
NH,1363,817,59.9
NJ,20162,9578,47.5
NM,1997,958,48.0
NY,54131,19197,35.5
NC,10463,5185,49.6
ND,479,479,*
OH,8118,2905,35.8
OK,3648,1418,38.9
OR,8924,4276,47.9
PA,18530,7961,43.0
RI,2384,491,20.6
SC,4599,2444,53.1
SD,604,574,95.0
TN,4615,1851,40.1
TX,40098,22072,55.0
UT,3704,2054,55.5
VT,279,*,*
VA,18129,9661,53.3
WA,24389,11610,47.6
WV,396,324,81.8
WI,6139,2223,36.2
WY,94,59,62.8

Table 3.24 Employment - Non-Hispanic Other Civilians with Disabilities Ages 18 to 64 Years Living in the Community for the United States and States: 2021
State,Total,"Employed: Count","Employed: % [1]"
US,1460996,590095,40.4
AL,23341,8735,37.4
AK,14065,5753,40.9
AZ,43064,16941,39.3
AR,24858,7964,32.0
CA,133546,53448,40.0
CO,26819,12581,46.9
CT,12268,5000,40.8
DE,5461,3379,61.9
DC,3229,1035,32.1
FL,71018,28469,40.1
GA,44727,15362,34.3
HI,24922,10694,42.9
ID,8904,5068,56.9
IL,39713,17397,43.8
IN,29694,12950,43.6
IA,14364,7652,53.3
KS,16462,7478,45.4
KY,29269,11406,39.0
LA,24699,7599,30.8
ME,4980,1061,21.3
MD,21336,9491,44.5
MA,25088,10984,43.8
