Table 1.1 Resident Population - States: 2018 to 2021
Geography,2018,2019,2020,2021
Geography,Industry,"Disability: Count","Disability: Percent (%)","No Disability: Count","No Disability: Percent (%)"
U.S.,Agriculture,"98,155",1.1,"1,559,546",1.1
U.S.,"Mining, Quarrying, and Oil and Gas Extraction","31,946",0.4,"521,610",0.4
U.S.,Utilities,"67,149",0.8,"1,209,856",0.9
U.S.,Construction,"558,054",6.4,"9,638,761",7.1
U.S.,Manufacturing,"882,656",10.1,"14,045,307",10.3
U.S.,"Wholesale Trade","169,479",1.9,"3,140,237",2.3
U.S.,"Retail Trade","1,157,852",13.3,"14,567,982",10.7
U.S.,"Transportation and Warehousing","484,493",5.6,"6,923,709",5.1
U.S.,Information,"151,978",1.7,"2,616,046",1.9
U.S.,"Finance and Insurance","334,707",3.8,"7,009,133",5.2
U.S.,"Real Estate and Rental and Leasing","146,908",1.7,"2,412,327",1.8
U.S.,"Professional, Scientific, and Technical Services","518,399",6.0,"11,318,846",8.3
U.S.,"Management of Companies and Enterprises","7,938",0.1,"170,350",0.1
U.S.,"Administrative and Support and Waste Management and Remediation Services","432,863",5.0,"5,557,781",4.1
U.S.,"Educational Services","694,517",8.0,"12,987,467",9.6
U.S.,"Health Care and Social Assistance","1,283,141",14.7,"19,201,091",14.1
U.S.,"Arts, Entertainment, and Recreation","156,410",1.8,"2,434,226",1.8
U.S.,"Accomodation and Food Services","646,538",7.4,"8,035,446",5.9
U.S.,"Other Services (Except Public Administration)","417,498",4.8,"5,987,290",4.4
U.S.,"Public Administration","464,832",5.3,"6,636,580",4.9

Table 4.2 Industry and Occupation - Civilians with and without Disabilities Ages 18-64 Years Living in the Community Employed by Occupation for the United States: 2021
Geography,Occupations,"Disability: Count","Disability: Percent (%)","No Disability: Count","No Disability: Percent (%)"
U.S.,"Management Occupations","762,232",8.8,"15,789,646",11.6
U.S.,"Business and Financial Operations Occupations","406,348",4.7,"8,368,275",6.2
U.S.,"Computer and Mathematical Occupations","272,899",3.1,"5,337,393",3.9
U.S.,"Architecture and Engineering Occupations","133,087",1.5,"3,197,824",2.4
U.S.,"Life, Physical, Social Sciences Occupations","68,649",0.8,"1,644,695",1.2
U.S.,"Community and Social Services Occupations","156,726",1.8,"2,409,991",1.8
U.S.,"Legal Occupations","73,153",0.8,"1,631,307",1.2
U.S.,"Education, Training, and Library Occupations","453,918",5.2,"8,732,835",6.4
U.S.,"Arts, Design, Entertainment, Sports, and Media Occupations","147,523",1.7,"2,771,773",2.0
U.S.,"Healthcare Practitioners and Technical Occupations","399,359",4.6,"9,039,276",6.6
U.S.,"Healthcare Support Occupations","386,446",4.4,"4,434,452",3.3
U.S.,"Protective Service Occupations","197,259",2.3,"2,894,698",2.1
U.S.,"Food Preparation and Serving Related Occupations","541,157",6.2,"6,149,229",4.5
U.S.,"Building and Grounds Cleaning and Maintenance Occupations","419,361",4.8,"4,382,538",3.2
U.S.,"Personal Care and Service Occupations","223,191",2.6,"3,103,119",2.3
U.S.,"Sales and Related Occupations","814,001",9.3,"12,103,723",8.9
U.S.,"Office and Administrative Support Occupations","1,072,430",12.3,"14,448,042",10.6
U.S.,"Farming, Fishing, and Forestry Occupations","49,113",0.6,"796,023",0.6
U.S.,"Construction and Extraction Occupations","422,009",4.8,"6,824,744",5.0
U.S.,"Installation, Maintenance, and Repair Occupations","303,000",3.5,"4,259,307",3.1
U.S.,"Production Occupations","581,112",6.7,"7,421,102",5.5
U.S.,"Transportation and Material Moving Occupations","824,439",9.5,"10,266,231",7.5

Table 4.3 Industry and Occupation - Civilians with and without Disabilities Ages 18-64 Years Living in the Community Employed in the Education Services Industry for the United States and States: 2021
State,"Disability: Count","Disability: Percent (%)","No Disability: Count","No Disability: Percent (%)"
US,692935,8.2,12987467,9.9
AL,10323,7.5,181792,9.6
AK,*,*,23864,8.6
AZ,15036,7.4,254815,8.9
AR,6843,7.2,116002,10.1
CA,69087,8.4,1419015,8.8
CO,14170,8.5,240902,9.2
CT,9360,10.0,176983,11.3
DE,2109,7.1,36543,9.2
DC,2060,11.2,28228,9.0
FL,35278,6.9,654832,7.6
GA,25840,9.3,428708,9.7
HI,2951,10.3,63727,11.6
ID,3782,5.8,71894,9.3
IL,25072,8.2,524780,9.9
IN,12850,6.6,263379,9.4
IA,7622,8.1,145951,10.5
KS,7710,8.8,134817,11.1
KY,9386,6.6,162599,9.5
LA,12486,9.6,162858,9.8
ME,4190,10.5,62651,11.0
MD,14027,8.9,278484,10.5
MA,18639,11.4,378339,12.1
MI,16346,6.1,348898,8.7
MN,15430,8.8,223104,8.7
MS,7919,8.4,105938,10.2
MO,11736,6.2,241687,9.6
MT,2236,6.8,48062,10.8
NE,6146,9.2,95311,11.1
NV,6130,7.1,86257,6.9
NH,2555,6.3,59851,9.5
NJ,15149,8.5,420896,10.6
NM,5663,9.4,80767,10.8
NY,43611,10.4,991483,12.2
NC,21064,7.6,388407,9.1
ND,1315,4.8,37210,11.0
OH,20784,6.2,423214,8.8
OK,9443,6.5,138575,9.3
OR,9983,6.9,140760,8.2
PA,26632,7.8,522963,9.8
RI,3968,11.8,56559,12.1
SC,11817,8.9,192442,9.6
SD,1579,5.6,36793,9.7
TN,12209,6.4,248051,8.8
TX,72199,8.7,1153342,9.6
UT,10974,10.4,151263,10.5
VT,2025,12.1,38839,14.1
VA,16638,7.1,357803,9.8
WA,13665,6.3,282199,8.7
WV,3848,7.6,65021,10.6
WI,10796,6.4,215650,8.3
WY,2254,11.4,24959,10.3

Table 4.4 Industry and Occupation - Civilians with and without Disabilities Ages 18-64 Years Living in the Community Employed in the Manufacturing Industry for the United States and States: 2021
State,"Disability: Count","Disability: Percent (%)","No Disability: Count","No Disability: Percent (%)"
US,880868,10.3,14045307,10.1
AL,18956,13.7,272646,14.4
AK,*,*,12179,4.4
AZ,13957,6.9,231198,8.1
AR,12308,12.9,147072,12.8
CA,67408,8.2,1482390,9.2
CO,13073,7.8,188718,7.2
CT,10646,11.4,175261,11.2
DE,1817,6.1,27162,6.8
DC,*,*,3747,1.2
FL,26740,5.3,473373,5.5
GA,28442,10.2,462885,10.5
HI,*,*,13767,2.5
ID,6645,10.1,76902,10.0
IL,36091,11.7,660000,12.4
IN,38643,20.0,517863,18.5
IA,14907,15.8,210514,15.2
KS,11545,13.1,143740,11.8
KY,24138,16.9,250526,14.7
LA,7435,5.7,120420,7.2
ME,4144,10.4,61930,10.9
MD,8192,5.2,133914,5.0
MA,14279,8.8,284217,9.1
MI,47756,17.9,766561,19.2
MN,21571,12.2,358928,14.0
MS,11714,12.4,139880,13.4
MO,20453,10.8,304612,12.1
MT,1838,5.6,20807,4.7
NE,5426,8.1,98938,11.5
NV,7431,8.6,64947,5.2
NH,4709,11.7,80892,12.8
NJ,13138,7.4,335706,8.5
NM,2672,4.4,29327,3.9
NY,24914,5.9,472382,5.8
NC,34336,12.4,520411,12.2
ND,920,3.4,23379,6.9
OH,53755,16.1,745745,15.5
OK,14754,10.1,146069,9.8
OR,12778,8.9,193161,11.3
PA,36986,10.9,661233,12.4
RI,3327,9.9,47497,10.1
SC,16984,12.8,283567,14.1
SD,4032,14.4,35983,9.5
TN,27132,14.2,370097,13.2
TX,70631,8.5,1068722,8.9
UT,9054,8.6,165646,11.5
VT,2079,12.4,31361,11.4
VA,15791,6.8,261609,7.2
WA,20121,9.3,316544,9.8
WV,4124,8.1,51000,8.3
WI,31990,19.1,489557,18.9
WY,1086,5.5,10322,4.3

Table 4.5 Industry and Occupation - Civilians with and without Disabilities Ages 18-64 Years Living in the Community Employed in the Retail Trade Industry for the United States and States: 2021
State,"Disability: Count","Disability: Percent (%)","No Disability: Count","No Disability: Percent (%)"
US,1156132,13.9,14567982,10.7
AL,18139,13.1,224380,11.8
AK,3583,13.5,28131,10.1
AZ,29326,14.4,338982,11.8
AR,15159,15.9,150982,13.2
CA,92467,11.2,1651106,10.2
CO,22582,13.5,274457,10.5
CT,15155,16.2,165832,10.6
DE,4654,15.6,51151,12.9
DC,*,*,15749,5.0
FL,73675,14.5,1042607,12.0
GA,33054,11.8,510564,11.6
HI,5543,19.4,55360,10.1
ID,7540,11.5,86543,11.2
IL,39068,12.7,522179,9.8
IN,23623,12.2,295572,10.5
IA,13747,14.5,151184,10.9
KS,10652,12.1,122882,10.1
KY,21993,15.4,197481,11.6
LA,15906,12.2,196867,11.8
ME,4564,11.5,63852,11.2
MD,18610,11.8,236018,8.9
MA,19041,11.7,300864,9.6
MI,42173,15.8,423024,10.6
MN,26732,15.2,263665,10.3
MS,10847,11.5,119434,11.5
MO,27008,14.3,278558,11.0
MT,4615,14.1,49185,11.1
NE,8795,13.1,85478,9.9
NV,11304,13.1,146848,11.8
NH,6218,15.4,69830,11.1
NJ,25471,14.3,425571,10.7
NM,6847,11.4,75212,10.1
NY,54162,12.9,773316,9.5
NC,35159,12.7,452427,10.6
ND,3319,12.1,31047,9.2
OH,44908,13.5,527886,10.9
OK,21971,15.0,182845,12.2
OR,24640,17.2,190827,11.2
PA,44502,13.1,557199,10.4
RI,3678,10.9,49861,10.7
SC,17787,13.4,224599,11.2
SD,4156,14.8,44454,11.7
TN,25969,13.6,321078,11.4
TX,104888,12.6,1338130,11.1
UT,14128,13.4,162481,11.3
VT,3101,18.6,28647,10.4
VA,32098,13.7,328948,9.0
WA,27012,12.5,369778,11.4
WV,8809,17.3,69033,11.2
WI,24922,14.9,269192,10.4
WY,3831,19.4,26686,11.1

Table 4.6 Industry and Occupation - Civilians with and without Disabilities Ages 18-64 Years Living in the Community Employed in the Health Care and Social Assistance Industry for the United States and States: 2021
State,"Disability: Count","Disability: Percent (%)","No Disability: Count","No Disability: Percent (%)"
US,1283141,14.7,19201091,14.4
AL,18747,13.6,265535,14.0
AK,3423,12.9,39967,14.4
AZ,26523,13.0,381065,13.3
AR,17999,18.9,168838,14.7
CA,119573,14.5,2116967,13.1
CO,22520,13.5,328496,12.6
CT,15446,16.5,251871,16.1
DE,3331,11.2,59804,15.0
DC,2220,12.1,22034,7.0
FL,60767,11.9,1183274,13.7
GA,35169,12.6,509931,11.6
HI,2578,9.0,76075,13.9
ID,7047,10.8,105663,13.7
IL,48272,15.7,750328,14.1
IN,29874,15.5,397059,14.2
IA,14193,15.0,187567,13.5
KS,15254,17.4,181796,14.9
KY,18488,12.9,247517,14.5
LA,20621,15.8,272074,16.3
ME,9067,22.8,88154,15.5
MD,22204,14.0,354285,13.3
MA,30293,18.6,500803,16.0
MI,39674,14.8,582762,14.6
MN,31037,17.6,442250,17.3
MS,14787,15.7,157429,15.1
MO,32352,17.2,384846,15.3
MT,5418,16.5,60220,13.5
NE,9768,14.6,129845,15.1
NV,8159,9.4,141883,11.4
NH,6434,16.0,95803,15.2
NJ,24613,13.8,536458,13.5
NM,11019,18.3,108825,14.6
NY,83802,20.0,1417528,17.5
NC,39746,14.3,601113,14.1
ND,3426,12.5,57365,16.9
OH,51931,15.6,753301,15.6
OK,22306,15.3,202387,13.5
OR,23145,16.1,256718,15.0
PA,62247,18.3,900443,16.9
RI,5690,16.9,72846,15.6
SC,16027,12.1,264353,13.1
SD,4065,14.5,62046,16.4
TN,27601,14.4,393103,14.0
TX,108629,13.0,1455248,12.1
UT,10909,10.4,163893,11.4
VT,1769,10.6,45125,16.3
VA,30760,13.2,468358,12.8
WA,29911,13.8,418130,12.9
WV,7824,15.4,118412,19.2
WI,22410,13.4,389238,15.0
WY,4073,20.7,32060,13.3

Table 4.7 Industry and Occupation - Civilians with and without Disabilities Ages 18-64 Years Living in the Community Employed in Office and Administrative Support Occupations for the United States and States: 2021
State,"Disability: Count","Disability: Percent (%)","No Disability: Count","No Disability: Percent (%)"
US,1072430,12.2,14448042,10.6
AL,15851,11.5,199277,10.5
AK,5421,20.5,31564,11.4
AZ,31157,15.3,344707,12.0
AR,11564,12.1,122229,10.7
CA,104938,12.7,1700795,10.5
CO,20267,12.2,259891,9.9
CT,10403,11.1,149623,9.6
DE,4404,14.8,41568,10.5
DC,2378,13.0,20221,6.4
FL,74628,14.7,1015335,11.7
GA,31385,11.2,486384,11.0
HI,3565,12.5,68451,12.5
ID,6229,9.5,88020,11.4
IL,37200,12.1,571325,10.7
IN,24424,12.6,295501,10.5
IA,9862,10.4,145753,10.5
KS,8995,10.2,129825,10.6
KY,17232,12.0,193821,11.4
LA,16778,12.8,174725,10.5
ME,4410,11.1,68563,12.1
MD,19525,12.3,286931,10.8
MA,17648,10.8,290139,9.2
MI,30980,11.6,418375,10.5
MN,18278,10.4,258293,10.1
MS,10460,11.1,113893,10.9
MO,23429,12.4,282903,11.2
MT,3900,11.9,41898,9.4
NE,9035,13.5,91475,10.6
NV,11233,13.0,154208,12.4
NH,5864,14.5,66775,10.6
NJ,25329,14.2,421068,10.6
NM,7088,11.8,76256,10.2
NY,54720,13.1,834758,10.3
NC,32269,11.6,429764,10.1
ND,3097,11.3,36540,10.8
OH,40804,12.2,528388,11.0
OK,17067,11.7,172384,11.5
OR,17085,11.9,183116,10.7
PA,42446,12.5,547207,10.2
RI,3769,11.2,52781,11.3
SC,13861,10.4,205417,10.2
SD,1702,6.1,37714,9.9
TN,22033,11.5,295549,10.5
TX,107193,12.9,1286721,10.7
UT,15612,14.8,177720,12.4
VT,1224,7.3,25935,9.4
VA,23681,10.1,360553,9.9
WA,24588,11.4,297722,9.2
WV,4632,9.1,67122,10.9
WI,18623,11.1,272241,10.5
WY,4040,20.5,24496,10.1

Table 4.8 Industry and Occupation - Civilians with and without Disabilities Ages 18-64 Years Living in the Community Employed in Sales and Related Occupations for the United States and States: 2021
State,"Disability: Count","Disability: Percent (%)","No Disability: Count","No Disability: Percent (%)"
US,814001,9.1,12103723,8.6
AL,13334,9.7,168279,8.9
AK,2425,9.2,17167,6.2
AZ,21049,10.3,285231,9.9
AR,8954,9.4,103140,9.0
CA,74109,9.0,1424047,8.8
CO,15474,9.3,252712,9.7
CT,9631,10.3,145966,9.4
DE,2635,8.8,36012,9.1
DC,1395,7.6,16553,5.3
FL,55613,10.9,937483,10.8
GA,26267,9.4,406886,9.2
HI,2374,8.3,46222,8.4
ID,4434,6.8,68687,8.9
IL,25108,8.2,452068,8.5
IN,11536,6.0,219001,7.8
IA,8056,8.5,119041,8.6
KS,7907,9.0,102011,8.4
KY,15780,11.0,144726,8.5
LA,10159,7.8,161051,9.7
ME,2663,6.7,46348,8.2
MD,13765,8.7,185817,7.0
MA,13875,8.5,257114,8.2
MI,29241,10.9,347927,8.7
MN,16760,9.5,206714,8.1
MS,8820,9.4,92029,8.8
MO,17179,9.1,237693,9.4
MT,2566,7.8,37576,8.5
NE,5254,7.8,69387,8.1
NV,9246,10.7,120249,9.7
NH,4629,11.5,60880,9.7
NJ,15003,8.4,360484,9.1
NM,5834,9.7,63230,8.5
NY,40560,9.7,684591,8.4
NC,23227,8.4,378895,8.9
ND,1390,5.1,26578,7.8
OH,28289,8.5,409749,8.5
OK,15735,10.8,140005,9.4
OR,16469,11.5,147720,8.6
PA,35090,10.3,449893,8.4
RI,2817,8.3,40923,8.7
SC,12067,9.1,196084,9.7
SD,2091,7.5,36542,9.6
TN,19178,10.0,261952,9.3
TX,77649,9.3,1156317,9.6
UT,8322,7.9,131159,9.1
VT,1696,10.2,20345,7.4
VA,24209,10.4,281613,7.7
WA,21991,10.2,265743,8.2
WV,6254,12.3,54515,8.9
WI,14493,8.7,211804,8.2
WY,1399,7.1,17564,7.3

Table 4.9 Industry and Occupation - Civilians with and without Disabilities Ages 18-64 Years Living in the Community Employed in Transportation and Material Moving Occupations for the United States and States: 2021
State,"Disability: Count","Disability: Percent (%)","No Disability: Count","No Disability: Percent (%)"
US,823789,9.5,10266231,7.3
AL,12558,9.1,166816,8.8
AK,2649,10.0,24857,8.9
AZ,17737,8.7,189077,6.6
AR,9746,10.2,104303,9.1
CA,70918,8.6,1224884,7.6
CO,16147,9.7,160930,6.1
CT,8082,8.6,90564,5.8
DE,3033,10.2,29711,7.5
DC,*,*,8710,2.8
FL,44117,8.7,645768,7.5
GA,27369,9.8,414398,9.4
HI,3487,12.2,31708,5.8
ID,6723,10.3,55388,7.2
IL,29239,9.5,437642,8.2
IN,23201,12.0,254262,9.1
IA,11381,12.0,114257,8.3
KS,6775,7.7,79995,6.6
KY,15714,11.0,165771,9.7
LA,13426,10.3,131789,7.9
ME,3907,9.8,40316,7.1
MD,15611,9.9,168773,6.3
MA,11794,7.2,162773,5.2
MI,31066,11.6,310316,7.8
MN,17408,9.9,158099,6.2
MS,7757,8.2,102635,9.9
MO,21411,11.4,195772,7.8
MT,3525,10.8,28143,6.3
NE,6279,9.4,57387,6.7
NV,7551,8.7,106170,8.5
NH,2646,6.6,35790,5.7
NJ,18361,10.3,287357,7.3
NM,4704,7.8,52345,7.0
NY,29062,6.9,497815,6.1
NC,26484,9.5,306160,7.2
ND,2897,10.6,20252,6.0
OH,41356,12.4,425110,8.8
OK,11964,8.2,110965,7.4
OR,10672,7.4,126616,7.4
PA,35718,10.5,435566,8.2
RI,1934,5.7,29693,6.3
SC,15881,11.9,156664,7.8
SD,1628,5.8,26335,6.9
TN,20101,10.5,257607,9.2
TX,76650,9.2,982849,8.2
UT,8998,8.6,99345,6.9
VT,1677,10.0,13460,4.9
VA,18125,7.8,223326,6.1
WA,19440,9.0,241610,7.5
WV,5234,10.3,48398,7.9
WI,20121,12.0,202756,7.8
WY,1525,7.7,22045,9.1

Table 4.10 Industry and Occupation - Civilians with and without Disabilities Ages 18-64 Years Living in the Community Employed in Management Occupations for the United States and States: 2021
State,"Disability: Count","Disability: Percent (%)","No Disability: Count","No Disability: Percent (%)"
US,762232,8.9,15789646,11.7
AL,8791,6.4,190282,10.0
AK,2238,8.5,31056,11.2
AZ,15033,7.4,313329,10.9
AR,7310,7.7,113731,9.9
CA,71652,8.7,1862685,11.5
CO,17383,10.4,352135,13.5
CT,7336,7.8,189523,12.1
DE,1832,6.2,46097,11.6
DC,2518,13.7,62055,19.7
FL,51341,10.1,1012036,11.7
GA,27764,9.9,513602,11.6
HI,2898,10.1,55661,10.2
ID,6968,10.6,89931,11.6
IL,28557,9.3,637509,12.0
IN,16672,8.6,299515,10.7
IA,7612,8.0,157897,11.4
KS,8733,9.9,150109,12.3
KY,11866,8.3,172113,10.1
LA,10815,8.3,180979,10.9
ME,2777,7.0,68365,12.0
MD,16271,10.3,325139,12.2
MA,17544,10.8,432454,13.8
MI,21767,8.1,428320,10.7
MN,13976,7.9,312727,12.2
MS,8133,8.6,96705,9.3
MO,16633,8.8,283497,11.2
MT,3261,10.0,60783,13.7
NE,5821,8.7,100920,11.7
NV,6532,7.6,119527,9.6
NH,3703,9.2,75504,12.0
NJ,16827,9.5,522984,13.2
NM,3854,6.4,83500,11.2
NY,38565,9.2,956074,11.8
NC,20950,7.5,504811,11.9
ND,3121,11.4,39135,11.5
OH,22788,6.8,547906,11.4
OK,12790,8.8,155538,10.4
OR,11240,7.8,205065,12.0
PA,22185,6.5,602594,11.3
RI,2570,7.6,52425,11.2
SC,11911,9.0,216349,10.8
SD,3130,11.2,44310,11.7
TN,15974,8.3,308114,11.0
TX,76520,9.2,1364064,11.3
UT,8600,8.2,183144,12.8
VT,2740,16.4,34596,12.5
VA,25854,11.1,476976,13.1
WA,20857,9.6,391025,12.1
WV,3390,6.7,53173,8.6
WI,12786,7.6,278935,10.8
WY,1491,7.6,30384,12.6

Table 5.1 Earnings - Annual Median Earnings of Full-time, Full-year Civilian Workers Ages 18-64 Years for the United States and States, by Disability Status (in 2021 inflation-adjusted dollars): 2021
State,"Total ($) [1]","No Disability ($)","Disability ($)","Gap ($) [2]"
US,51400,51413,43228,8185
AL,44212,44278,40266,4012
AK,58319,59291,53857,5434
AZ,51055,51404,43242,8162
AR,41172,41192,33688,7504
CA,60861,60970,51427,9543
CO,58806,59536,51375,8161
CT,64532,66025,50735,15290
DE,55026,55678,50861,4817
DC,91860,92266,71474,20792
FL,45390,46246,41173,5073
GA,49389,49414,43228,6186
HI,54532,54365,57004,-2639
ID,46058,46161,37055,9106
IL,55935,56247,46194,10053
IN,49431,51394,41174,10220
IA,50922,51397,43195,8202
KS,49395,50164,44820,5344
KY,46289,46318,40689,5629
LA,46270,46296,38100,8196
ME,51400,51413,41097,10316
MD,65910,66191,54761,11430
MA,71055,71213,57045,14168
MI,51467,51478,44068,7410
MN,57174,58202,47294,10908
MS,40890,40912,37591,3321
MO,48395,49389,39992,9397
MT,46320,46335,42765,3570
NE,51085,51406,40738,10668
NV,47175,47196,45918,1278
NH,58304,58855,48283,10572
NJ,66429,66605,56529,10076
NM,46345,48296,35680,12616
NY,61383,61510,51260,10250
NC,49119,49300,42178,7122
ND,51419,51437,39432,12005
OH,51421,51440,41168,10272
OK,43192,43532,35977,7555
OR,53635,55082,46245,8837
PA,54156,55255,46210,9045
RI,56965,58689,46087,12602
SC,46090,46157,41180,4977
SD,46314,46325,40922,5403
TN,45277,46253,40684,5569
TX,51394,51408,41455,9953
UT,51449,51470,41205,10265
VT,51439,51458,44980,6478
VA,59216,60089,51432,8657
WA,65409,66212,51487,14725
WV,44198,45225,35947,9278
WI,51470,51479,46170,5309
WY,50196,51076,33307,17769

Table 6.1 Poverty - Civilians with Disabilities Ages 18-64 Years Living in the Community for the United States and States: 2021
State,Total,"Poverty: Count","Poverty: %"
US,21375164,5420980,25.4
AL,427044,117608,27.5
AK,57446,13785,24.0
AZ,462266,101643,22.0
AR,270410,75911,28.1
CA,2094680,470724,22.5
CO,334153,64675,19.4
CT,210733,50433,23.9
DE,63108,13653,21.6
DC,45567,17222,37.8
FL,1294357,304721,23.5
GA,718796,174123,24.2
HI,70655,20003,28.3
ID,129963,24273,18.7
IL,738699,187135,25.3
IN,475999,120215,25.3
IA,200714,57854,28.8
KS,201587,56306,27.9
KY,425527,138531,32.6
LA,382524,120020,31.4
ME,111109,37853,34.1
MD,347449,82539,23.8
MA,390447,102885,26.4
MI,717556,188470,26.3
MN,346254,80760,23.3
MS,283513,87026,30.7
MO,455483,126640,27.8
MT,75444,19276,25.6
NE,127695,27349,21.4
NV,203594,50241,24.7
NH,86205,16022,18.6
NJ,442236,95270,21.5
NM,172088,54792,31.8
NY,1137516,330786,29.1
NC,721213,176724,24.5
ND,47057,10371,22.0
OH,844365,240989,28.5
OK,355773,95550,26.9
OR,337722,90697,26.9
PA,862692,237259,27.5
RI,79542,18802,23.6
SC,371131,96339,26.0
SD,54749,16383,29.9
TN,536506,151658,28.3
TX,1812286,403925,22.3
UT,194928,38294,19.6
VT,44065,15631,35.5
VA,525816,118857,22.6
WA,515893,121811,23.6
WV,171095,53491,31.3
WI,361742,97088,26.8
WY,37772,8367,22.2

Table 6.2 Poverty - Civilians without Disabilities Ages 18-64 Years Living in the Community for the United States and States: 2021
State,Total,"Poverty: Count","Poverty: %"
US,177527241,21009430,11.8
AL,2547331,367778,14.4
AK,370838,33653,9.1
AZ,3777370,457898,12.1
AR,1491911,214436,14.4
CA,22007153,2480168,11.3
CO,3274242,318690,9.7
CT,1991370,207891,10.4
DE,520770,59928,11.5
DC,404964,69093,17.1
FL,11356405,1358578,12.0
GA,5805086,738519,12.7
HI,729300,75941,10.4
ID,971484,100070,10.3
IL,6917512,762258,11.0
IN,3564936,416259,11.7
IA,1668525,195198,11.7
KS,1507357,174964,11.6
KY,2242246,325631,14.5
LA,2309022,399106,17.3
ME,709211,77357,10.9
MD,3371887,313337,9.3
MA,3981891,460415,11.6
MI,5301641,647265,12.2
MN,3065749,261593,8.5
MS,1426633,239182,16.8
MO,3177937,370852,11.7
MT,564962,64914,11.5
NE,1014311,108560,10.7
NV,1690271,205887,12.2
NH,770904,59707,7.7
NJ,5176776,476003,9.2
NM,1047810,180943,17.3
NY,10983027,1432571,13.0
NC,5562607,725055,13.0
ND,408160,46288,11.3
OH,6129834,737192,12.0
OK,1962381,274575,14.0
OR,2232682,264638,11.9
PA,6848016,773287,11.3
RI,600499,78618,13.1
SC,2671976,384092,14.4
SD,453506,57363,12.6
TN,3641442,452364,12.4
TX,15981386,1990079,12.5
UT,1789229,151403,8.5
VT,348202,45247,13.0
VA,4629055,474910,10.3
WA,4199025,392243,9.3
WV,863113,143242,16.6
WI,3165531,327884,10.4
WY,299765,36305,12.1

Table 6.3 Poverty Gap - Civilians with and without Disabilities Ages 18-64 Years Living in the Community for the United States and States, by Disability Status: 2021
State,"Poverty Rate (%): Disability [1]","Poverty Rate (%): No Disability [2]","Gap (% pts) [3]"
US,25.4,11.8,13.6
AL,27.5,14.4,13.1
AK,24.0,9.1,14.9
AZ,22.0,12.1,9.9
AR,28.1,14.4,13.7
CA,22.5,11.3,11.2
CO,19.4,9.7,9.7
CT,23.9,10.4,13.5
DE,21.6,11.5,10.1
DC,37.8,17.1,20.7
FL,23.5,12.0,11.5
GA,24.2,12.7,11.5
HI,28.3,10.4,17.9
ID,18.7,10.3,8.4
IL,25.3,11.0,14.3
IN,25.3,11.7,13.6
IA,28.8,11.7,17.1
KS,27.9,11.6,16.3
KY,32.6,14.5,18.1
LA,31.4,17.3,14.1
ME,34.1,10.9,23.2
MD,23.8,9.3,14.5
MA,26.4,11.6,14.8
MI,26.3,12.2,14.1
MN,23.3,8.5,14.8
MS,30.7,16.8,13.9
MO,27.8,11.7,16.1
MT,25.6,11.5,14.1
NE,21.4,10.7,10.7
NV,24.7,12.2,12.5
NH,18.6,7.7,10.9
NJ,21.5,9.2,12.3
NM,31.8,17.3,14.5
NY,29.1,13.0,16.1
NC,24.5,13.0,11.5
ND,22.0,11.3,10.7
OH,28.5,12.0,16.5
OK,26.9,14.0,12.9
OR,26.9,11.9,15.0
PA,27.5,11.3,16.2
RI,23.6,13.1,10.5
SC,26.0,14.4,11.6
SD,29.9,12.6,17.3
TN,28.3,12.4,15.9
TX,22.3,12.5,9.8
UT,19.6,8.5,11.1
VT,35.5,13.0,22.5
VA,22.6,10.3,12.3
WA,23.6,9.3,14.3
WV,31.3,16.6,14.7
WI,26.8,10.4,16.4
WY,22.2,12.1,10.1

Table 7.1 Home Environment - Civilians with and without Disabilities Ages 18-64 Years Living in the Community in a Home Environment that Lacks a Complete Kitchen for the United States and States: 2021
State,"Disability: Count","Disability: Percent (%)","No Disability: Count","No Disability: Percent (%)"
US,212244,1.0,855097,0.5
AL,5036,1.2,12135,0.5
AK,2044,3.7,7375,2.0
AZ,4297,0.9,18588,0.5
AR,3196,1.2,8395,0.6
CA,27612,1.4,159765,0.7
CO,3086,0.9,8519,0.3
CT,3226,1.6,5860,0.3
DE,*,*,*,*
DC,*,*,*,*
FL,10710,0.8,58865,0.5
GA,6166,0.9,23440,0.4
HI,1384,2.0,6417,0.9
ID,1374,1.1,3359,0.3
IL,6820,0.9,20831,0.3
IN,4802,1.0,16528,0.5
IA,385,0.2,8280,0.5
KS,1862,1.0,7633,0.5
KY,2769,0.7,13918,0.6
LA,3389,0.9,9724,0.4
ME,*,*,2079,0.3
MD,2835,0.8,15788,0.5
MA,4257,1.1,17836,0.5
MI,6326,0.9,20403,0.4
MN,2467,0.7,15111,0.5
MS,1582,0.6,7766,0.6
MO,7250,1.6,12904,0.4
MT,1991,2.8,3353,0.6
NE,*,*,3891,0.4
NV,3053,1.5,9617,0.6
NH,1526,1.8,2874,0.4
NJ,4607,1.1,25510,0.5
NM,2208,1.3,9101,0.9
NY,10320,0.9,51309,0.5
NC,5349,0.8,15047,0.3
ND,*,*,1194,0.3
OH,8555,1.0,28827,0.5
OK,3865,1.1,11466,0.6
OR,2385,0.7,10564,0.5
PA,10938,1.3,32410,0.5
RI,*,*,1580,0.3
SC,1422,0.4,9840,0.4
SD,*,*,2817,0.6
TN,4773,0.9,17333,0.5
TX,18653,1.0,79116,0.5
UT,1307,0.7,3309,0.2
